alph-0.0
problem-idx,trial,timeout,success,elapsed(s),length,reward
0,0,0,0,0.052924156188964844,0,0
0,1,0,0,0.05159783363342285,0,0
0,2,0,0,0.05167245864868164,0,0
0,3,0,0,0.052088022232055664,0,0
0,4,0,0,0.05154776573181152,0,0
0,5,0,0,0.05239510536193848,0,0
0,6,0,0,0.05187559127807617,0,0
0,7,0,0,0.0516352653503418,0,0
0,8,0,0,0.052123069763183594,0,0
0,9,0,0,0.05222797393798828,0,0
0,10,0,0,0.052023887634277344,0,0
0,11,0,0,0.05221056938171387,0,0
0,12,0,0,0.05195784568786621,0,0
0,13,0,0,0.052178144454956055,0,0
0,14,0,0,0.05211997032165527,0,0
0,15,0,0,0.05217266082763672,0,0
0,16,0,0,0.0517420768737793,0,0
0,17,0,0,0.051944732666015625,0,0
0,18,0,0,0.052312374114990234,0,0
0,19,0,0,0.05183839797973633,0,0
0,20,0,0,0.05158281326293945,0,0
0,21,0,0,0.051697492599487305,0,0
0,22,0,0,0.051991939544677734,0,0
0,23,0,0,0.051837921142578125,0,0
0,24,0,0,0.05195188522338867,0,0
0,25,0,0,0.053087711334228516,0,0
0,26,0,0,0.0516355037689209,0,0
0,27,0,0,0.05184578895568848,0,0
0,28,0,0,0.05195903778076172,0,0
0,29,0,0,0.05132269859313965,0,0
1,0,0,0,0.05185699462890625,0,0
1,1,0,0,0.051464080810546875,0,0
1,2,0,0,0.05218338966369629,0,0
1,3,0,0,0.052243709564208984,0,0
1,4,0,0,0.051856040954589844,0,0
1,5,0,0,0.05267667770385742,0,0
1,6,0,0,0.05258750915527344,0,0
1,7,0,0,0.05250096321105957,0,0
1,8,0,0,0.05241203308105469,0,0
1,9,0,0,0.05220150947570801,0,0
1,10,0,0,0.052077531814575195,0,0
1,11,0,0,0.052275657653808594,0,0
1,12,0,0,0.052426815032958984,0,0
1,13,0,0,0.052102088928222656,0,0
1,14,0,0,0.05220174789428711,0,0
1,15,0,0,0.05163311958312988,0,0
1,16,0,0,0.051733970642089844,0,0
1,17,0,0,0.051513671875,0,0
