alph-0.0
problem-idx,trial,timeout,success,elapsed(s),length,reward
0,0,0,0,0.07829451560974121,1,-1
0,1,0,1,0.03979229927062988,2,98
0,2,0,1,0.039999961853027344,2,98
0,3,0,1,0.04007720947265625,2,98
0,4,0,0,0.0770273208618164,1,-1
0,5,0,0,0.07767271995544434,1,-1
0,6,0,1,0.0398867130279541,2,98
0,7,0,0,0.07695960998535156,1,-1
0,8,0,1,0.040175437927246094,2,98
0,9,0,1,0.039906978607177734,2,98
0,10,0,1,0.03993582725524902,2,98
0,11,0,0,0.07610559463500977,1,-1
0,12,0,1,0.03973674774169922,2,98
0,13,0,1,0.03976559638977051,2,98
0,14,0,0,0.07633304595947266,1,-1
0,15,0,0,0.07634377479553223,1,-1
0,16,0,1,0.04017066955566406,2,98
0,17,0,0,0.07700514793395996,1,-1
0,18,0,0,0.07702970504760742,1,-1
0,19,0,1,0.039827585220336914,2,98
0,20,0,0,0.07644486427307129,1,-1
0,21,0,1,0.03992342948913574,2,98
0,22,0,1,0.03976917266845703,2,98
0,23,0,0,0.07666587829589844,1,-1
0,24,0,1,0.04048871994018555,2,98
0,25,0,1,0.03971433639526367,2,98
0,26,0,1,0.03986477851867676,2,98
0,27,0,1,0.04008913040161133,2,98
0,28,0,1,0.03978705406188965,2,98
0,29,0,0,0.07639098167419434,1,-1
1,0,0,1,0.04550051689147949,4,96
1,1,0,0,0.08387231826782227,3,-3
1,2,0,0,0.08324122428894043,2,-2
1,3,0,0,0.08352208137512207,1,-1
1,4,0,0,0.08451032638549805,1,-1
1,5,0,0,0.08361268043518066,2,-2
1,6,0,0,0.08615851402282715,2,-2
1,7,0,0,0.08397126197814941,1,-1
1,8,0,0,0.08407974243164062,1,-1
1,9,0,1,0.0459599494934082,4,96
1,10,0,0,0.0840916633605957,1,-1
1,11,0,0,0.08311891555786133,1,-1
1,12,0,0,0.08329963684082031,3,-3
1,13,0,0,0.08323884010314941,1,-1
1,14,0,0,0.08432960510253906,3,-3
1,15,0,0,0.08338356018066406,1,-1
1,16,0,0,0.08363842964172363,3,-3
1,17,0,0,0.08329391479492188,2,-2
1,18,0,0,0.08375167846679688,2,-2
1,19,0,0,0.08439159393310547,3,-3
1,20,0,0,0.08489799499511719,3,-3
1,21,0,0,0.08519458770751953,1,-1
1,22,0,0,0.08413958549499512,1,-1
1,23,0,0,0.08324122428894043,2,-2
1,24,0,0,0.08397626876831055,3,-3
1,25,0,0,0.08386468887329102,1,-1
1,26,0,0,0.08352947235107422,1,-1
1,27,0,0,0.08460068702697754,2,-2
1,28,0,0,0.08702230453491211,1,-1
1,29,0,0,0.0836951732635498,2,-2
2,0,0,0,0.0944528579711914,1,-1
2,1,0,0,0.09448933601379395,1,-1
2,2,0,0,0.09299206733703613,1,-1
2,3,0,0,0.09318852424621582,3,-3
2,4,0,0,0.0928504467010498,1,-1
2,5,0,0,0.09331965446472168,2,-2
2,6,0,0,0.09309506416320801,5,-5
2,7,0,0,0.09297466278076172,1,-1
2,8,0,0,0.0936582088470459,1,-1
2,9,0,0,0.09364652633666992,4,-4
2,10,0,0,0.09322023391723633,4,-4
2,11,0,0,0.09305405616760254,4,-4
2,12,0,0,0.09262895584106445,1,-1
2,13,0,0,0.09306955337524414,3,-3
2,14,0,0,0.09684562683105469,3,-3
2,15,0,0,0.09270143508911133,1,-1
2,16,0,0,0.09290266036987305,1,-1
2,17,0,0,0.09313797950744629,4,-4
2,18,0,0,0.09296607971191406,1,-1
2,19,0,0,0.09314250946044922,2,-2
2,20,0,0,0.09293627738952637,1,-1
2,21,0,0,0.09335637092590332,1,-1
2,22,0,0,0.09376168251037598,2,-2
2,23,0,0,0.09316015243530273,1,-1
2,24,0,0,0.09278488159179688,1,-1
2,25,0,0,0.09353327751159668,2,-2
2,26,0,0,0.09321141242980957,2,-2
2,27,0,0,0.09294915199279785,1,-1
2,28,0,0,0.0930032730102539,1,-1
2,29,0,0,0.09275674819946289,2,-2
3,0,0,0,0.10602521896362305,4,-4
3,1,0,0,0.10621213912963867,4,-4
3,2,0,0,0.10596299171447754,3,-3
3,3,0,0,0.10623550415039062,2,-2
3,4,0,0,0.1060025691986084,6,-6
3,5,0,0,0.10636329650878906,1,-1
3,6,0,0,0.10550761222839355,3,-3
3,7,0,0,0.1066427230834961,1,-1
3,8,0,0,0.10863208770751953,3,-3
3,9,0,0,0.10596418380737305,2,-2
3,10,0,0,0.10532355308532715,1,-1
3,11,0,0,0.10781168937683105,1,-1
3,12,0,0,0.10621047019958496,1,-1
3,13,0,0,0.10590314865112305,1,-1
3,14,0,0,0.1052546501159668,1,-1
3,15,0,0,0.10621976852416992,5,-5
3,16,0,0,0.1054985523223877,1,-1
3,17,0,0,0.1070864200592041,3,-3
3,18,0,0,0.10913467407226562,2,-2
3,19,0,0,0.10576677322387695,1,-1
3,20,0,0,0.10597538948059082,1,-1
3,21,0,0,0.10741043090820312,2,-2
3,22,0,0,0.10908007621765137,2,-2
3,23,0,0,0.10604143142700195,2,-2
3,24,0,0,0.10546684265136719,1,-1
3,25,0,0,0.10673165321350098,5,-5
3,26,0,0,0.1069176197052002,4,-4
3,27,0,0,0.10583066940307617,2,-2
3,28,0,0,0.10605573654174805,3,-3
3,29,0,0,0.10741186141967773,7,-7
4,0,0,0,0.12278890609741211,4,-4
4,1,0,0,0.12201714515686035,1,-1
4,2,0,0,0.12223505973815918,2,-2
4,3,0,0,0.12256860733032227,3,-3
4,4,0,0,0.12184333801269531,2,-2
4,5,0,0,0.1223139762878418,1,-1
4,6,0,0,0.12206387519836426,2,-2
4,7,0,0,0.12234354019165039,1,-1
4,8,0,0,0.1231679916381836,2,-2
4,9,0,0,0.12243819236755371,4,-4
4,10,0,0,0.12422966957092285,1,-1
4,11,0,0,0.1263282299041748,2,-2
4,12,0,0,0.12249636650085449,1,-1
4,13,0,0,0.12179136276245117,1,-1
4,14,0,0,0.12297368049621582,3,-3
4,15,0,0,0.12263703346252441,2,-2
4,16,0,0,0.1215980052947998,2,-2
4,17,0,0,0.12144160270690918,1,-1
4,18,0,0,0.12212872505187988,1,-1
4,19,0,0,0.12343406677246094,5,-5
4,20,0,0,0.12255597114562988,3,-3
4,21,0,0,0.12177419662475586,1,-1
4,22,0,0,0.12283134460449219,2,-2
4,23,0,0,0.1224822998046875,1,-1
4,24,0,0,0.12214255332946777,1,-1
4,25,0,0,0.1254417896270752,1,-1
4,26,0,0,0.12244367599487305,1,-1
4,27,0,0,0.12234711647033691,3,-3
4,28,0,0,0.12381172180175781,6,-6
4,29,0,0,0.12250137329101562,1,-1
5,0,0,0,0.14064264297485352,1,-1
5,1,0,0,0.1409761905670166,1,-1
5,2,0,0,0.14165472984313965,2,-2
5,3,0,0,0.14311432838439941,1,-1
5,4,0,0,0.14689111709594727,3,-3
5,5,0,0,0.14502286911010742,1,-1
5,6,0,0,0.14242315292358398,1,-1
5,7,0,0,0.14137935638427734,1,-1
5,8,0,0,0.14142894744873047,1,-1
5,9,0,0,0.1417980194091797,2,-2
5,10,0,0,0.14133739471435547,2,-2
5,11,0,0,0.14192819595336914,4,-4
5,12,0,0,0.14540839195251465,2,-2
5,13,0,0,0.14220929145812988,2,-2
5,14,0,0,0.1469590663909912,1,-1
5,15,0,0,0.1423187255859375,6,-6
5,16,0,0,0.14290809631347656,1,-1
5,17,0,0,0.14387965202331543,1,-1
5,18,0,0,0.14020371437072754,1,-1
5,19,0,0,0.14106154441833496,2,-2
5,20,0,0,0.14131402969360352,2,-2
5,21,0,0,0.140655517578125,1,-1
5,22,0,0,0.14075708389282227,1,-1
5,23,0,0,0.14181232452392578,2,-2
5,24,0,0,0.14235973358154297,1,-1
5,25,0,0,0.1454160213470459,1,-1
5,26,0,0,0.14380598068237305,2,-2
5,27,0,0,0.14124250411987305,2,-2
5,28,0,0,0.14379096031188965,2,-2
5,29,0,0,0.14135479927062988,1,-1
6,0,0,0,0.1631488800048828,1,-1
6,1,0,0,0.16476917266845703,1,-1
6,2,0,0,0.16320252418518066,1,-1
6,3,0,0,0.1645495891571045,3,-3
6,4,0,0,0.17070984840393066,2,-2
6,5,0,0,0.16507935523986816,4,-4
6,6,0,0,0.16404271125793457,3,-3
6,7,0,0,0.16376900672912598,3,-3
6,8,0,0,0.16584062576293945,3,-3
6,9,0,0,0.16730093955993652,2,-2
6,10,0,0,0.16411662101745605,1,-1
6,11,0,0,0.16563200950622559,2,-2
6,12,0,0,0.1661372184753418,3,-3
